locality,lon,lat,Age,region,Country,group.name
Beni Ouarsous,-1.556971407,35.08031737,pre-evaporitic Messinian,Western Mediterranean,Algeria,corals
Beni Saf,-1.377041074,35.28998968,pre-evaporitic Messinian,Western Mediterranean,Algeria,corals
Benmoussa,-5.001792,33.983867,Tortonian,Western Mediterranean,France,corals
Berghut (Kert Basin),-3.454804,34.962277,pre-evaporitic Messinian,Western Mediterranean,Morocco,bivalves
Biglini (Cuneo_Piedmont),7.980481063,44.7045184,pre-evaporitic Messinian,Po Plain-Northern Adriatic,Italy,gastropods
Bir Tam Tam (South Fes),-4.644538148,33.9812537,pre-evaporitic Messinian,Western Mediterranean,Morocco,corals
Bizcornil (Malaga),-5.088156905,36.4566692,Zanclean,Western Mediterranean,Spain,bivalves
Bled es Safa (Tafna Basin),-1.446342495,35.1943451,pre-evaporitic Messinian,Western Mediterranean,Algeria,bivalves
Bled Medroum (Tlemcen),-1.31620947,34.8825957,pre-evaporitic Messinian,Western Mediterranean,Algeria,gastropods
Bled Sidi Bou Knadil (Lower Chelif Basin),0.165516,36.026508,pre-evaporitic Messinian,Western Mediterranean,Algeria,bivalves
Bo (Gavdos),24.08482182,34.84636588,Tortonian,Eastern Mediterranean,Greece,corals
Bo (Gavdos),24.08482182,34.84636588,Tortonian,Eastern Mediterranean,Greece,planktic_foraminifera
Bocca d'Asino (South Tortona),8.867995,44.880885,Tortonian,Po Plain-Northern Adriatic,Italy,corals
Bocca d'Asino (South Tortona),8.867995,44.880885,Tortonian,Po Plain-Northern Adriatic,Italy,scaphopod_chitons_cephalopods
Bologna,11.35041512,44.49182978,Tortonian,Po Plain-Northern Adriatic,Italy,corals
Bonaria (Cagliari_Sardinia),9.122995397,39.20992654,Tortonian,Western Mediterranean,Italy,marine_mammals
Bordighera (Liguria),7.672216718,43.78071006,Zanclean,Western Mediterranean,Italy,gastropods
Bordighera (Liguria),7.672216718,43.78071006,Zanclean,Western Mediterranean,Italy,ostracods
Borelli (Moncucco Torinese_Piedmont),7.938559158,45.06427547,pre-evaporitic Messinian,Po Plain-Northern Adriatic,Italy,bivalves
Borelli (Moncucco Torinese_Piedmont),7.938559158,45.06427547,pre-evaporitic Messinian,Po Plain-Northern Adriatic,Italy,fish
Borelli (Moncucco Torinese_Piedmont),7.938559158,45.06427547,pre-evaporitic Messinian,Po Plain-Northern Adriatic,Italy,gastropods
Borelli (Moncucco Torinese_Piedmont),7.938559158,45.06427547,pre-evaporitic Messinian,Po Plain-Northern Adriatic,Italy,scaphopod_chitons_cephalopods
Borelli (Moncucco Torinese_Piedmont),7.938559158,45.06427547,Tortonian,Po Plain-Northern Adriatic,Italy,gastropods
Borzoli (Genova),8.886630484,44.4355256,Zanclean,Western Mediterranean,Italy,bivalves
Borzoli (Genova),8.886630484,44.4355256,Zanclean,Western Mediterranean,Italy,gastropods
Borzoli (Genova),8.886630484,44.4355256,Zanclean,Western Mediterranean,Italy,marine_mammals
Botro Rosso (Monti Livornesi_Tuscany),10.4164434,43.52096955,pre-evaporitic Messinian,Western Mediterranean,Italy,fish
Bou Djebaa (Ain Oumata),-0.600000035,35.33343752,pre-evaporitic Messinian,Western Mediterranean,Algeria,corals
Bou Meriem (Tazouta_South Fes),-4.605512721,33.71666589,pre-evaporitic Messinian,Western Mediterranean,Morocco,corals
Bou Zadjar (Western Plateau),-1.142907547,35.58192387,pre-evaporitic Messinian,Western Mediterranean,Algeria,corals
Boudinar Basin,-3.629329517,35.1524405,pre-evaporitic Messinian,Western Mediterranean,Morocco,bivalves
Boudinar Basin,-3.629329517,35.1524405,pre-evaporitic Messinian,Western Mediterranean,Morocco,corals
Boudinar Basin,-3.629329517,35.1524405,Zanclean,Western Mediterranean,Morocco,nanoplankton
Bougaz-1 well (NE Nile delta),31.85,32.8,Zanclean,Eastern Mediterranean,Egypt,nanoplankton
Boughioiul (South Fes),2.848344401,35.70424708,pre-evaporitic Messinian,Western Mediterranean,Morocco,corals
Bouhamza (Segangane Basin),4.690734052,36.44682269,pre-evaporitic Messinian,Western Mediterranean,Morocco,bivalves
